"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","55.53970848851125","48.80779042628282","0.0400390625","0.07568359375","0.00439453125","1560","0.0032209427553813777","24","0.0032209427553813777","0","0.0032209427553813777","0.0032209427553813777","1:68","1:0.031131683513298536","1:0.06733749604354425","0.0400390625","Yes"
"1","216.47224360430346","255.882014614402","0.0244140625","0.034423828125","0.014404296875","1560","0.0003650255521676111","24","0.0003650255521676111","0","0.0003650255521676111","0.0003650255521676111","2:68;0:68","2:0.0031216100464716845;0:0.031131683513298536","2:0.00210815844185519;0:0.06733749604354425","0.0244140625","Yes"
"2","144.58950836881453","101.96876995626074","0.0078125","0.00927734375","0.00634765625","1560","0.00019631972470791762","24","0.00019631972470791762","0","0.00019631972470791762","0.00019631972470791762","1:68;3:68","1:0.0031216100464716845;3:0.0028680777231431254","1:0.00210815844185519;3:0.001259662105433268","0.0078125","Yes"
"3","144.54220045281443","160.95581515547136","0.0487060546875","0.046630859375","0.05078125","1560","0.00026146547302213275","24","0.00026146547302213275","0","0.00026146547302213275","0.00026146547302213275","16:68;2:68;4:68","16:0.002085879057829698;2:0.0028680777231431254;4:0.002810689391149007","16:0.001605054506032294;2:0.001259662105433268;4:0.0059563266940542425","0.0487060546875","Yes"
"4","117.35923540064586","106.95547439568838","0.009765625","0.01123046875","0.00830078125","1560","0.00033930070289566773","24","0.00033930070289566773","0","0.00033930070289566773","0.00033930070289566773","3:68;5:68","3:0.002810689391149007;5:0.002873877495822741","3:0.0059563266940542425;5:0.0034940373176442496","0.009765625","Yes"
"5","240.29007096101336","208.16803203039248","0.0489501953125","0.055419921875","0.04248046875","1560","0.000290601543610761","24","0.000290601543610761","0","0.000290601543610761","0.000290601543610761","6:68;4:68","6:0.007051118121399358;4:0.002873877495822741","6:0.0125278514196705;4:0.0034940373176442496","0.0489501953125","Yes"
"6","189.78866914692287","156.2919603901347","0.018798828125","0.017822265625","0.019775390625","1560","0.00027772353421245304","24","0.00027772353421245304","0","0.00027772353421245304","0.00027772353421245304","5:68;7:68","5:0.007051118121399358;7:0.0024261324068285406","5:0.0125278514196705;7:0.0027103264168603924","0.018798828125","Yes"
"7","100.3173454141196","37.896896350651865","0.0250244140625","0.03369140625","0.016357421875","1560","0.0004654896164231986","24","0.0004654896164231986","0","0.0004654896164231986","0.0004654896164231986","17:68;6:68;8:68","17:0.002978459805706768;6:0.0024261324068285406;8:0.0028770673695448223","17:0.002813454509108443;6:0.0027103264168603924;8:0.003095185122316768","0.0250244140625","Yes"
"8","163.42503147063246","41.469907640693144","0.006591796875","0.009521484375","0.003662109375","1560","0.0002495926431383163","24","0.0002495926431383163","0","0.0002495926431383163","0.0002495926431383163","9:68;7:68","9:0.0023196031606749767;7:0.0028770673695448223","9:0.0020332559718163057;7:0.003095185122316768","0.006591796875","Yes"
"9","198.631504778608","19.934904406101698","0.015869140625","0.01904296875","0.0126953125","1560","0.00021804955068953656","24","0.00021804955068953656","0","0.00021804955068953656","0.00021804955068953656","8:68;10:68","8:0.0023196031606749767;10:0.001444212248364718","8:0.0020332559718163057;10:0.0016335464642879272","0.015869140625","Yes"
"10","201.1121252107415","112.77689490780605","0.0087890625","0.00927734375","0.001953125","1560","0.00017294143179273272","24","0.00017294143179273272","0","0.00017294143179273272","0.00017294143179273272","9:68;11:68","9:0.001444212248364718;11:0.009294720265155404","9:0.0016335464642879272;11:0.008870641006351404","0.0087890625","Yes"
"11","118.46452297585816","83.64618141846653","0.01611328125","0.01904296875","0.01318359375","1560","0.0010495951557357517","24","0.0010495951557357517","0","0.0010495951557357517","0.0010495951557357517","18:68;10:68;12:68","18:0.018487537244563645;10:0.009294720265155404;12:0.00697848479923574","18:0.020131434228642747;10:0.008870641006351404;12:0.007338959563372022","0.01611328125","Yes"
"12","72.0780098481698","74.81505505450174","0.0224609375","0.028076171875","0.016845703125","1560","0.0004045892849505765","24","0.0004045892849505765","0","0.0004045892849505765","0.0004045892849505765","13:68;11:68","13:0.0048385446481349625;11:0.00697848479923574","13:0.004169694658106404;11:0.007338959563372022","0.0224609375","Yes"
"13","181.53470811424756","126.6994385174417","0.0216064453125","0.021240234375","0.02197265625","1560","0.00035351395270897764","24","0.00035351395270897764","0","0.00035351395270897764","0.00035351395270897764","12:68;14:68","12:0.0048385446481349625;14:0.0018396210504111055","12:0.004169694658106404;14:0.003986193317986886","0.0216064453125","Yes"
"14","168.09727994412606","63.03657582778243","0.009765625","0.005126953125","0.014404296875","1560","0.0004250413161669303","24","0.0004250413161669303","0","0.0004250413161669303","0.0004250413161669303","15:68;13:68","15:0.002017591469501867;13:0.0018396210504111055","15:0.0017136442637079308;13:0.003986193317986886","0.009765625","Yes"
"15","414.7915847411953","227.51979558769278","0.023681640625","0.03515625","0.01220703125","1560","0.00018082732860350755","24","0.00018082732860350755","0","0.00018082732860350755","0.00018082732860350755","14:68;19:68","14:0.002017591469501867;19:0.0021031110583231427","14:0.0017136442637079308;19:0.0020608312270540274","0.023681640625","Yes"
"16","107.49626127888423","94.17388119283764","0.0068359375","0.012939453125","0.000732421875","1560","0.00039124565781927136","24","0.00039124565781927136","0","0.00039124565781927136","0.00039124565781927136","23:68;3:68","23:0.0032641485994504282;3:0.002085879057829698","23:0.002140767526778914;3:0.001605054506032294","0.0068359375","Yes"
"17","138.6334495235194","105.32705566578785","0.0198974609375","0.01513671875","0.024658203125","1560","0.0003998022251005002","24","0.0003998022251005002","0","0.0003998022251005002","0.0003998022251005002","7:68;27:68","7:0.002978459805706768;27:0.032006850631577155","7:0.002813454509108443;27:0.03390244167956663","0.0198974609375","Yes"
"18","77.53317268217846","44.71972615663492","0.010986328125","0.020751953125","0.001220703125","1560","0.00039438406378451213","24","0.00039438406378451213","0","0.00039438406378451213","0.00039438406378451213","11:68;31:68","11:0.018487537244563645;31:0.004041982875647748","11:0.020131434228642747;31:0.0034756368881565802","0.010986328125","Yes"
"19","169.05785210059395","172.46695395112465","0.010498046875","0.01416015625","0.0068359375","1560","0.0004071394446809607","24","0.0004071394446809607","0","0.0004071394446809607","0.0004071394446809607","35:68;15:68","35:0.0018322061625394848;15:0.0021031110583231427","35:0.0020421253686985774;15:0.0020608312270540274","0.010498046875","Yes"
"20","114.00524156779083","104.33084283073758","0.01220703125","0.012939453125","0.011474609375","1560","0.00029654821058150264","24","0.00029654821058150264","0","0.00029654821058150264","0.00029654821058150264","21:68","21:0.0037274837599517996","21:0.003364607052167956","0.01220703125","Yes"
"21","259.87198829229413","205.38292049373723","0.0103759765625","0.013427734375","0.00732421875","1560","0.00015426942583310116","24","0.00015426942583310116","0","0.00015426942583310116","0.00015426942583310116","36:68;20:68;22:68","36:0.008187527501747227;20:0.0037274837599517996;22:0.0028012615446192934","36:0.004941437923298153;20:0.003364607052167956;22:0.0036813968001020436","0.0103759765625","Yes"
"22","88.83928546661662","85.93563529536532","0.006103515625","0.009765625","0.00244140625","1560","0.0002596171109073388","24","0.0002596171109073388","0","0.0002596171109073388","0.0002596171109073388","23:68;21:68","23:0.0021636368581343934;21:0.0028012615446192934","23:0.0028580483413060964;21:0.0036813968001020436","0.006103515625","Yes"
"23","219.06455318217414","222.76155470126787","0.0052490234375","0.00732421875","0.003173828125","1560","0.00013207022053404936","24","0.00013207022053404936","0","0.00013207022053404936","0.00013207022053404936","22:68;24:68;16:68","22:0.0021636368581343934;24:0.004715187135178517;16:0.0032641485994504282","22:0.0028580483413060964;24:0.00713045641566068;16:0.002140767526778914","0.0052490234375","Yes"
"24","100.68419056737251","138.31089363021377","0.01806640625","0.019775390625","0.016357421875","1560","0.0012868480802480018","24","0.0012868480802480018","0","0.0012868480802480018","0.0012868480802480018","23:68;25:68","23:0.004715187135178517;25:0.02138044019425331","23:0.00713045641566068;25:0.02180526980193992","0.01806640625","Yes"
"25","152.23244224505117","132.06398409672536","0.0291748046875","0.033935546875","0.0244140625","1560","0.00019528414533736364","24","0.00019528414533736364","0","0.00019528414533736364","0.00019528414533736364","24:68;26:68;37:68","24:0.02138044019425331;26:0.0028146945637931298;37:0.002289125958454291","24:0.02180526980193992;26:0.0022451873427192237;37:0.0015277192172512832","0.0291748046875","Yes"
"26","142.66429478729543","101.13760408781505","0.0189208984375","0.0185546875","0.019287109375","1560","0.00019640758072315232","24","0.00019640758072315232","0","0.00019640758072315232","0.00019640758072315232","25:68;27:68","25:0.0028146945637931298;27:0.031149657968051303","25:0.0022451873427192237;27:0.036005182980714895","0.0189208984375","Yes"
"27","100.63733635257118","114.8971186585541","0.0185546875","0.029296875","0.01123046875","1560","0.004471832567382202","24","0.004471832567382202","0","0.004471832567382202","0.004471832567382202","26:68;28:68;17:68","26:0.031149657968051303;17:0.032006850631577155","26:0.036005182980714895;28:0.0670770487729147;17:0.03390244167956663","0.0185546875","Yes"
"28","152.38101138510783","166.37514117444823","0.0089111328125","0.013427734375","0.00439453125","1560","0.00019788852097075198","24","0.00019788852097075198","0","0.00019788852097075198","0.00019788852097075198","27:68;29:68","29:0.004754393955956809","27:0.0670770487729147;29:0.002324444490724331","0.0089111328125","Yes"
"29","223.03928858649562","52.83638254606155","0.016357421875","0.025146484375","0.007568359375","1560","0.00022300814800401114","24","0.00022300814800401114","0","0.00022300814800401114","0.00022300814800401114","38:68;28:68;30:68","38:0.003974059799125074;28:0.004754393955956809;30:0.003834665790008046","38:0.001979196508935299;28:0.002324444490724331;30:0.0022985248541889103","0.016357421875","Yes"
"30","107.6970017151247","87.93019088866015","0.0089111328125","0.01318359375","0.004638671875","1560","0.0002642877799373642","24","0.0002642877799373642","0","0.0002642877799373642","0.0002642877799373642","31:68;29:68","31:0.002686671749335401;29:0.003834665790008046","31:0.002858739724145909;29:0.0022985248541889103","0.0089111328125","Yes"
"31","113.23410412793223","73.82103473493412","0.0701904296875","0.052490234375","0.087890625","1560","0.0006901198639297164","24","0.0006901198639297164","0","0.0006901198639297164","0.0006901198639297164","30:68;32:68;18:68","30:0.002686671749335401;32:0.03764691502385456;18:0.004041982875647748","30:0.002858739724145909;32:0.006785027327718907;18:0.0034756368881565802","0.0701904296875","Yes"
"32","77.71637495111842","125.07878131738374","0.0467529296875","0.039794921875","0.0537109375","1560","0.0003116516650245571","24","0.0003116516650245571","0","0.0003116516650245571","0.0003116516650245571","31:68;33:68","31:0.03764691502385456","31:0.006785027327718907","0.0467529296875","Yes"
"33","154.66711468814654","138.38204621548164","0.018798828125","0.027587890625","0.010009765625","1560","0.00024366316980025513","24","0.00024366316980025513","0","0.00024366316980025513","0.00024366316980025513","39:68;32:68;34:68","39:0.0017525667895158248;34:0.002678939282973275","39:0.001981237846671813;34:0.002169503876968071","0.018798828125","Yes"
"34","178.049625729244","57.840881438269314","0.01220703125","0.014404296875","0.010009765625","1560","0.0005794320197403807","24","0.0005794320197403807","0","0.0005794320197403807","0.0005794320197403807","33:68;35:68","33:0.002678939282973275;35:0.002217457073541401","33:0.002169503876968071;35:0.003504999270242476","0.01220703125","Yes"
"35","171.0973284942008","49.982858992377686","0.0162353515625","0.025390625","0.007080078125","1560","0.00046334548680756414","24","0.00046334548680756414","0","0.00046334548680756414","0.00046334548680756414","19:68;34:68","19:0.0018322061625394848;34:0.002217457073541401","19:0.0020421253686985774;34:0.003504999270242476","0.0162353515625","Yes"
"36","138.67378953393077","112.86018499728489","0.0096435546875","0.01025390625","0.009033203125","1560","0.0006219795351857707","24","0.0006219795351857707","0","0.0006219795351857707","0.0006219795351857707","41:68;21:68","41:0.0017640010761230396;21:0.008187527501747227","41:0.0022628411061763054;21:0.004941437923298153","0.0096435546875","Yes"
